,mean,std,min,max
brent,4.060608809606032e-15,0.3146254278057899,-1.6510864742514526,0.6198570881675263
wti,-1.911625391825844e-15,0.2916409294279718,-1.3209730739446974,0.6587319742249456
natgas_us,-2.2663863123382508e-15,0.4355411131691438,-0.8116979006863407,1.33255790193902
wheat,1.805707563039766e-14,0.2016045576063476,-0.5492701671731872,0.7379731871835746
corn,2.361329522719988e-14,0.1700400740716547,-0.5945834819205844,0.5522651460614236
copper,3.184936350413179e-14,0.23375762798998348,-0.855255845762052,0.7940249766180987
aluminum,-6.635815779368752e-15,0.17223967955415778,-0.4860769210087019,0.49014456874199297
iron_ore,-8.044650514065502e-15,0.2011231222873888,-0.6028856306387098,0.505178024543306
